#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,117,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,190,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.043374000,0.026133000, 5.787247
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
114,-27.393000000,11.731843657,8221,11.731801033,8221,0.000360824,11.731806529,8221,0.000316479
115,-26.560000000,11.694588849,8222,11.694540977,8222,0.000405724,11.694541401,8222,0.000405724
116,-26.907000000,11.645910955,8223,11.645863533,8223,0.000410251,11.645863178,8223,0.000410251
117,-26.858000000,11.671608243,8223,11.671604156,8223,0.000033070,11.671617457,8223,0.000078940
118,-25.682000000,11.783639398,8224,11.783633232,8224,0.000055296,11.783647126,8224,0.000065584
119,-25.489000000,11.888481656,8225,11.888474464,8225,0.000063909,11.888488177,8225,0.000054848
120,-27.256000000,11.957509593,8226,11.957509995,8226,0.000006997,11.957523190,8226,0.000113715
121,-16.457000000,12.046058350,8227,12.046053886,8227,0.000034418,12.046068137,8227,0.000081252
122,-9.137600000,12.106782845,8229,12.106744766,8229,0.000318407,12.106744296,8229,0.000318407
123,-3.401000000,12.141753678,8230,12.141716003,8230,0.000311261,12.141720284,8230,0.000275034
124,-4.308400000,12.160358419,8231,12.160320282,8231,0.000315910,12.160320003,8231,0.000315910
125,-3.947600000,12.142297627,18302,12.142288208,18302,0.000076729,12.142251238,18302,0.000382039
126,-2.063600000,12.119695473,18303,12.119694710,18303,0.000008493,12.119657932,18303,0.000309748
127,0.158250000,12.106259497,18304,12.106256485,18304,0.000024519,12.106219977,18304,0.000326444
128,2.224100000,12.107455992,18305,12.107457161,18305,0.000008370,12.107419827,18305,0.000298700
129,4.014800000,12.139988873,18305,12.139971733,18305,0.000138526,12.139981482,18305,0.000060875
130,2.795800000,12.177050983,8236,12.177042961,8236,0.000064200,12.177061335,8236,0.000085012
131,3.554100000,12.177208589,8237,12.177198410,8237,0.000082475,12.177216715,8237,0.000066733
132,3.486100000,12.174178556,8238,12.174168587,8238,0.000084535,12.174187065,8238,0.000069895
133,2.241600000,12.138355367,18310,12.138350487,18310,0.000039769,12.138317228,18310,0.000314209
134,2.969200000,12.106676383,18311,12.106674194,18311,0.000016828,12.106640946,18311,0.000292706
135,4.517900000,12.067733821,8242,12.067689896,8242,0.000365464,12.067694776,8242,0.000323552
136,1.794100000,11.974802596,8243,11.974754333,8243,0.000401804,11.974759578,8243,0.000359240
137,-3.199200000,11.946733507,8243,11.946720123,8243,0.000112245,11.946744365,8243,0.000090886
138,-2.299500000,11.946649755,8245,11.946603775,8245,0.000384094,11.946598760,8245,0.000426859
139,-3.667200000,11.933808580,8245,11.933791161,8245,0.000144812,11.933820707,8245,0.000101616
140,-1.785500000,11.923898777,8247,11.923851013,8247,0.000400686,11.923845881,8247,0.000443615
141,-1.020000000,11.890281070,8248,11.890239716,8248,0.000345282,11.890234882,8248,0.000388453
142,-1.124800000,11.859199326,8249,11.859157562,8249,0.000352221,11.859152409,8249,0.000395619
143,0.296730000,11.835635055,8249,11.835625648,8249,0.000080629,11.835650007,8249,0.000126333
144,-0.767070000,11.809291193,8250,11.809277534,8250,0.000112241,11.809302488,8250,0.000095645
145,-0.841180000,11.791474734,8251,11.791457176,8251,0.000152566,11.791486507,8251,0.000099847
146,-0.980800000,11.796191745,8252,11.796177864,8252,0.000118182,11.796207556,8252,0.000134030
147,-1.385800000,11.814322662,8253,11.814311028,8253,0.000099607,11.814340599,8253,0.000151831
148,-0.611750000,11.854756068,8254,11.854743004,8254,0.000106311,11.854774357,8254,0.000154272
149,-0.900630000,11.892011233,8255,11.891994476,8255,0.000143551,11.892023673,8255,0.000104612
150,0.158600000,11.945391914,8256,11.945376396,8256,0.000130132,11.945405749,8256,0.000115818
151,1.447800000,11.999175666,8257,11.999164581,8257,0.000092622,11.999189985,8257,0.000119334
152,-3.158000000,12.074087975,8259,12.074046135,8259,0.000345600,12.074041192,8259,0.000387467
153,-11.368000000,12.103703286,8259,12.103689194,8259,0.000119590,12.103708352,8259,0.000041851
154,-13.707000000,12.123630482,8260,12.123623848,8260,0.000055122,12.123643308,8260,0.000105790
