#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.207665000,0.116868000,14.937824
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
71,6.692600000,6.337830432,12741,6.337856770,12741,0.000413172,6.164414003,12741,2.736211248
72,5.646300000,6.311255669,12742,6.311291218,12742,0.000564040,6.324555320,12742,0.210729081
73,0.788610000,6.301705566,12743,6.301743984,12743,0.000606946,6.633249581,12743,5.261179075
74,-5.768900000,6.307378413,12744,6.307414532,12744,0.000572272,6.633249581,12744,5.166507321
75,-7.827700000,6.303208892,12745,6.303247452,12745,0.000609320,6.164414003,12745,2.201971913
76,-8.300200000,6.326309698,12746,6.326345444,12746,0.000561746,6.480740698,12747,2.441091374
77,-7.421900000,6.322110783,12747,6.322154522,12747,0.000688350,6.164414003,12747,2.494369136
78,-7.898600000,6.317414409,12748,6.317446232,12748,0.000502287,6.324555320,12748,0.113035355
79,-8.666500000,6.326688255,12749,6.326728821,12749,0.000639647,6.164414003,12749,2.564916198
80,-8.045700000,6.344759626,12750,6.344798565,12750,0.000614829,6.164414003,12750,2.842434290
81,-8.035600000,6.452234416,12751,6.452278614,12751,0.000682188,6.324555320,12751,1.978835358
82,-6.077000000,6.507829056,12753,6.507772446,12753,0.000866894,6.324555320,12752,2.816203902
83,-4.794000000,6.621022556,12753,6.621069431,12753,0.000709792,6.633249581,12753,0.184669726
84,-1.651700000,6.799476736,12754,6.799516678,12754,0.000589482,6.782329983,12754,0.252177537
85,-1.409600000,7.172427605,12755,7.172460079,12755,0.000452539,7.483314774,12755,4.334476221
86,-1.476600000,7.609371397,12756,7.609406948,12756,0.000468989,7.615773106,12756,0.084129273
87,0.006602300,7.965925962,12757,7.965957642,12757,0.000398302,8.246211251,12757,3.518552521
88,-1.809000000,8.323931243,12758,8.323961258,12758,0.000359908,8.485281374,12758,1.938388568
89,-5.532100000,8.654458791,12759,8.654485703,12759,0.000306411,8.717797887,12759,0.731866632
90,-7.205100000,8.943905868,12760,8.943925858,12760,0.000220487,9.165151390,12760,2.473701366
91,-11.899000000,9.229929179,12761,9.229953766,12761,0.000266736,9.165151390,12761,0.701823249
92,-13.924000000,9.527721242,12762,9.527743340,12762,0.000231889,9.591663047,12763,0.671113305
93,-12.621000000,9.786184667,12763,9.786208153,12763,0.000238386,9.695359715,12763,0.928093588
94,-11.615000000,10.005811411,12764,10.005836487,12764,0.000248837,9.899494937,12764,1.062547258
95,-12.657000000,10.181597208,12765,10.181616783,12765,0.000189074,10.099504938,12765,0.806280865
96,-13.731000000,10.379951657,12766,10.379968643,12766,0.000161263,10.295630141,12766,0.812349793
97,-13.380000000,10.523953263,34,10.523962021,34,0.000086637,10.488088482,34,0.340791906
98,-14.199000000,10.582384970,35,10.582393646,35,0.000084341,10.488088482,35,0.891070285
99,-14.024000000,10.652492408,36,10.652497292,36,0.000050017,10.677078252,12769,0.230798986
100,-15.197000000,10.721305591,37,10.721310616,37,0.000047461,10.677078252,37,0.412518220
101,-15.081000000,10.795191321,38,10.795197487,38,0.000055670,10.770329614,38,0.230303527
102,-13.851000000,10.911053446,38,10.911064148,38,0.000102169,10.862780491,38,0.442422493
103,-15.044000000,11.045064630,39,11.045075417,39,0.000094342,10.954451150,12773,0.820397914
104,-16.669000000,11.164365525,12774,11.164377213,12774,0.000101474,11.135528726,12774,0.258293225
105,-18.529000000,11.177734856,12775,11.177744865,12775,0.000091875,10.954451150,41,1.997575613
106,-20.237000000,11.155381311,43,11.155386925,43,0.000050332,11.135528726,12776,0.177964205
107,-20.573000000,11.184740294,43,11.184751511,43,0.000099074,11.224972160,43,0.359703176
108,-25.423000000,11.255162287,45,11.255167961,45,0.000049098,11.135528726,45,1.062921687
109,-24.651000000,11.456313052,45,11.456323624,45,0.000089995,11.489125293,46,0.286411878
110,-23.564000000,11.632526256,47,11.632530212,47,0.000036317,11.575836903,8218,0.487334840
111,-26.764000000,11.725268887,8218,11.725223541,8218,0.000387322,11.661903790,48,0.540414875
112,-24.432000000,11.755330807,8219,11.755284309,8219,0.000396501,11.489125293,8219,2.264551444
113,-25.690000000,11.746315798,8220,11.746271133,8220,0.000380790,11.747340124,8220,0.008720406
114,-27.393000000,11.731843657,8221,11.731801033,8221,0.000360824,11.661903790,8220,0.596154106
115,-26.560000000,11.694588849,8222,11.694540977,8222,0.000405724,11.575836903,8222,1.015443533
116,-26.907000000,11.645910955,8223,11.645863533,8223,0.000410251,11.575836903,8223,0.601705204
117,-26.858000000,11.671608243,8223,11.671604156,8223,0.000033070,11.313708499,8223,3.066413270
118,-25.682000000,11.783639398,8224,11.783633232,8224,0.000055296,11.575836903,8223,1.763483152
119,-25.489000000,11.888481656,8225,11.888474464,8225,0.000063909,12.000000000,8226,0.938036894
120,-27.256000000,11.957509593,8226,11.957509995,8226,0.000006997,11.832159566,8227,1.048295428
121,-16.457000000,12.046058350,8227,12.046053886,8227,0.000034418,12.000000000,7854,0.382352038
